	pl	csb
5811	Wirtualna skrzynka pocztowa (użytkownik 2)	Wirtualnô pòcztowô kastka (brëkòwnik 2)
5812	Podświetlenie menu	Pòdnoszenié menu
5813	Czytnik grup dyskusyjnychName	Czëtôrz diskùsjowëch karnówName
5814	Obsługiwane przez backstage. bbc. co. uk / Dane z biura UK MET	Wspiéróné przez backstage. bbc. co. uk / Pòdôwczi z wiodrowégò biura UK MET
5815	Śledzi sieć i uaktualnia zawartości katalogów dla protokołu network: / Name	Dozérô sécë ë aktualizëje wëskrzënianié katalogów sécë: / protocolName
5816	Pulpit semantyczny Nepomuk pozwala na oznaczanie i ocenianie plików zintegrowane z wyszukiwaniem na pulpicie.	Semanticzny pùlt Nepomuka włączô znakòwanié ë taksowanié lopków sparłączonëch z pùltową szëkbą.
5817	Rozpocznij grę sieciową	Naczni sécową grã
5818	Cofnij	Copni
5819	SzczegółyName	DetaleName
5820	Vatu (Vanatu) Name	Vanuatu VatuName
5821	Wyodrębnianie szukanych wyrażeń	Wëdzëlenié szëkónëch wësłowiów
5822	W tym oknie można zobaczyć wygląd aktualnie wybranego stylu, bez konieczności stosowania go do całego środowiska.	W tim òknie mòże òbaczëc wëzdrzatk biéżnô wëbrónégò sztélu, bez mùszu wzãcô gò do całégò òkrãżégò.
5823	Przez telefon	Przez telefón
5824	Rozmiar danych Nepomuka:	Miara pamiãcë Nepomuka
5825	& Obramowanie wokół niepobranych obrazków	& Rama wkół òbrôzków nié zladowónëch pòprôwno
5826	uruchom komputer ponownie	zrëszë kòmpùtr znowa
5827	Próbuje wybrać najlepszy monochromatyczny format PNM dla dokumentu, czasem zawodzi.	Prubùje wëbrac nôlepszi mònochromatikòwi fòrmat PNM dlô dokùmenta, czasã cëgani.
5828	Zamrożony	Francësczi
5829	Nagłówek	Głowa
5830	Drukuj raz	Drëkùjë raz
5831	Podgląd ograniczeń wzmocnienia	Maksymalné zmòcnienié mònitora
5832	Plik wyjściowy	Lopk wińdzeniô
5833	PusteName	CzëstiName
5834	"Pokaż kolumnę ""% 1"""	Wëskrzëni kòlumnã '% 1'
5835	Polecenie do wykonania po utworzeniu nowej sesji dla tego profilu	Pòlét do zrëszeniô przë ùsôdzeniu nowi sesëji terminal brëkùjący negò profilu
5836	Próba zmiany właściciela danego zasobu% 1 nie powiodła się.	Próba zmianë miéwcë dostónka% 1 nie darzëła sã.
5837	Odwróć mysz	Òdwrócr mësz
5838	Pożądana szerokość w pikselach	Żądónô wiżo w pikselach
5839	Plik PNM zawiera obraz o wysokości 0	Plik PNM zamëkô w se òbrôz ò wiżë 0
5840	Stan oczekiwaniaQShortcut	QShortcut
5841	Udziel negatywnej autoryzacji	Przëznôj negatiwné ùdowiérzenié
5842	& Wybór nieaktywnego zmienia kolor	Farwa & nieaktiwnégò zaznaczeniô zmianów
5843	Utwórz nowy zestaw kolorów z wybranego	Ùsôdzë nową schémã farwów òpiartą na wëbróny
5844	To jest nośnik rozruchowy %u. Proszę wsunąć nośnik rozruchowy %u.	To je sztartowi disk %u. Proszã włożëc sztartowi disk %u.
5845	Włącz/ wyłącz ten wyjątek	Włączë/ wëłączë nen wëjimk
5846	Polecenie, które chcesz wykonać, wymaga uprawnień administratora. Wpisz poniżej hasło administratora lub wciśnij przycisk Ignoruj, by kontynuować z dotychczasowymi uprawnieniami.	Pòlét, jaczi chcesz zrëszëc, wëmògô praw sprôwnika. Wpiszë niżi parolã sprôwnika abò wcësni knąpã Òprzestóń, abë robic dali z ternëma prawama.
5847	Czcionka używana przez panel na dole ekranu, zawierający listę uruchomionych programów.	Fònt ùżëwóny przez listew dzejaniów na spódkù ekranu, zamëkôjącą w se lëstã zrëszonëch programów.
5848	Użyj wielokolorowej taśmy	Brëkùjë wielofarwny tasmë
5849	"Wyślij sygnał SIGTERM do wybranego procesu. Więcej informacji w ""Co to jest."" Po kliknięciu procesu prawym przyciskiem myszy można wysłać inne sygnały."	"Sélôj sygnał SIGTERM do wëbrónegò procesu. Òbôczë pòmòc "" Céż to je "" do dobëcô wicy wëdowiédzë. Klëkni prawą knąpą na proces abë wësłac jinszy sygnał."
5850	Dostawca:% 1	Wszëtce dowòznice
5851	Demon powiadomień KDEName	Ùsłëżnota dôwanié wiédzë KDEName
5852	Błąd podczas próby uzyskania dostępu do '% 1', system zgłosił:% 2	Fela przë próbie ùzwëskaniô przistãpù do '% 1', systema gôdô:% 2
5853	Błąd daty/ czasu	Fela Czasu/ Datuma
5854	Moduł kodujący pliki Ogg VorbisName	Mòdul kòdërëjący lopczi Ogg VorbisName
5855	Plik '% 1' nie mógł być otwarty, to nie jest normalny plik, to katalog.	Lopk '% 1' ni mòże òstac òtemkniãti: to nie je zwëkòwi lopk, to katalog.
5856	Otwieraj karty w aktualnym oknie	Òtemkni kôrtë bënë tegò òkna
5857	Wybór mechanizmu drukowanie (drukarka 2)	wëbiérk wërkù drëkòwanié (drëkôrz 2)
5858	Zmniejsz wielkość czcionek	Zmniészë wielgòsc fòntów
5859	Maksymalizuj okno w pionie	Maksymalizëjë òkno wertiklano
5860	Tacka systemowaComment	Systemòwi zabiérnikComment
5861	Moduł KDED menu StartName	Mòdule sztartowégò menu òknów KDEDName
5862	Włącz animacje	Włączë animacëjã
5863	& Zmień nazwę katalogu...	& Zmieni miono grëpë
5864	Skrzynka pocztowa 6 (wydrukiem w dół)	Pòcztowô kastka 6 (drëkã w dół)
5865	"Polecenie używane do obsługi adresów URL typu ""apt,"" jeśli włączone."	"Pòlét brëkòwóny do òbsłëdżi adresów URL ""apt,"" jeżlë włączoné."
5866	Maksymalizuj okno w poziomie	Maskymalizëjë òkno hòrizontalno
5867	& Kontynuuj	& Biéj dali
5868	Nie można utworzyć katalogu	Ni mòże ùsôdzëc kataloga
5869	Drukuj ręcznie na drugiej stronie	Drëkùjë rãczno na drëdżi starnie
5870	Drukarka docelowa	Ùmëslny drëkër
5871	360 dpi wysoka jakość, jednokierunkowy	360 dpi wësôk kwalitet, jednoczérënkòwi
5872	Wtyczka Icedtea Java dla przeglądarek internetowych	Wtëkôcz Icedtea dlô przezérników sécowëch
5873	Ocean_ Indyjski/ Mahe	Indijsczi_ Òcean/ Mahe
5874	Ameryka ŚrodkowaName	Westrzédnô AmerikaName
5875	Konwertuje obraz do trybu koloru indeksowanegoimage-action	image-action
5876	Tekst znaku wodnego	Tekst wòdnégò merkù
5877	Zapisz profil	Editëjë profil
5878	Otwieranie plików nie jest obsługiwane przez protokół% 1.	Òtmëkanié lopków nie je òbsłëgiwóné przez protokól% 1.
5879	KaszmirskiName	KaszmirscziName
5880	Uruchom (2) QShortcut	Zrëszë (2) QShortcut
5881	Błąd bazy danych	Baza pòdôwków:
5882	Maksymalna wartość koloru w pliku PNM wynosi 0	Maksymalnô wôrtnota farwë w lopkù PNM je 0
5883	Nowa zakładka	Nowé załóżczi
5884	Grupuj & za pomocą inicjałów wykonawcy	Grëpùjë wedle & jinicjałów artistów
5885	Przesunięcie Y	Przesëniãcé Y
5886	Wirtualna skrzynka pocztowa (użytkownik 6)	Wirtualnô pòcztowô kastka (brëkòwnik 6)
5887	Szczegóły	Drobnotë
5888	Nowe dokumenty i programy:	Òtemkniãté dokùmentë
5889	Usuń profil	Rëmôj profil
5890	Szybki dostęp do terminalaName	Terminal chùtczegò przëstãpùName
5891	Zaznacz & częściowo przesłane pliki	Zaznaczë & dzélowò sélóné lopczi
5892	Wybierz drugie grupowanie:	Wëbierzë drëdżé grëpòwónié:
5893	Klawisz Super został zablokowany i będzie włączony przy kolejnych wciśnięciach klawiszy.	Klawisza Super je zablokòwónô ë òstanie włączonô przë nôslédnych wcësniãcach klawiszów.
5894	7 schowkowa skrzynka pocztowa	7 tacnikòwô pòcztowô kastka
5895	Dziennik błędów	QShortcut
5896	To pole zawiera etykietę, wyświetlaną na górze apletu. Domyślnie zawiera ona nazwę miejsca pokazywaną w aplecie, lecz możesz wpisać tu inną etykietę, jeśli chcesz.	Tuwò mòżeta wpisac òpisënk, jaczi sã wëskrzëni wëżi apletu. Domëszlno je to miono wëskrzënionegò kataloga, mòżeta równak wpisac kòżdi jinszi òpisënk.
5897	Przywrócić sesję?	Doprowôdzëc sesëjã nazôd?
5898	Gratulacje. Wygrałeś!	Gratulëjã. Môsz dobëté!
5899	"Nie można otworzyć ""% 1"""	Ni mòże òtemknąc '% 1'
5900	Kopiuj elementy	Kòpiérëjë elementë
5901	Adres jest już używany	Adresë są ju brëkòwóne
5902	Ostatni tłumacz@ title: window	@ title: window
5903	Australia/ LHI	Aùstralëjô/ Hobart
5904	ZnacznikName	ZnakòwnikName
5905	Ustawienia paska zadań	Ùstôwë lëstwë dzejaniów
5906	Użytkownik systemu plików:% 1	Brëkòwnik systemë lopków:% 1
5907	Styl sieci WebComment	Sécowi sztélComment
5908	"Witamy w ""Centrum informacji KDE,"" głównym miejscem znajdowania informacji o Twoim komputerze i systemie."	"Witómë w ""Centróm wëdowiédzë KDE,"" przédnym môlu nalezeniô wëdowiédzë ò Twòjim kòmpùtrze ë systemie."
5909	PadlinożercaName	ZdechlënożérôkName
5910	Automatyczne uruchamianie, usługi	AutoStart, Serwisë
5911	Tu można wybrać liczbę wirtualnych pulpitów KDE.	Tuwò mòżesz nastôwic jak wiele wirtualnych pùltów chcesz w KDE.
5912	300 dpi, jakość fotograficzna, wkład fotograficzny i kolorowy, papier specjalny (Premium)	300 dpi, òdjimkòwi kwalitet, wkłôd òdjimny i farwny, papiór specjalny (Premium)
5913	Uaktualnij wszystkie ikony & witryn	Aktualizëjë wszëtczé & faviconë
5914	& Zastąp...	Wladënk...
5915	Jakość wykończenia	Kwalitet wëkùńczeniô
5916	& Zapisz	& Zapiszë
5917	Ameryka/ Campo_ Grande	Amerika/ Campo_ Grande
5918	Czy na pewno chcesz usunąć motyw% 1?	Czë na gwës chcesz rëmnąc ną témã% 1?
5919	Rufiyaa maldiwiańskaName	Maldiwskô RufiyaaName
5920	Rozwiń	& Rozwinie
5921	Dobra@ item: inmenu	Dobrô@ item: inmenu
5922	Błąd skryptu: argument przekazany do setHtml () nie był ciągiem	Fela skriptu: Argùment dlô setHtml () ni bëł stegną
5923	Usługa KDE - wymusza aktualizację bazy danych bufora w razie potrzeby	KDE Daemon - wëwòłiwô aktualizacëjã bazë pòdôwków Sycoca, jeżlë mùszebné.
5924	Wersja	Wersëjô
5925	Otwórz edytor globalnych skrótów	Òtemkni editora globalnych skrodzënów
5926	Ignoruje próby modyfikacji tekstu paska stanu przez skrypty. Strona WWW będzie sądzić, że tekst paska stanu został zmieniony, ale oryginalny tekst pozostanie bez zmian.	Ignorëjë próbë zmianë tekstu listwë stónu przez skriptë. Starna WWW bãdze mëszlec, że tekst listwë stónu òstôł zmieniony, równak oryginalny tekst òstanie bez zjinaków.
5927	Ameryka/ Ensenada	Amerika/ Grenada
5928	Nazwa nowego zestawu	Miono nowi schemë
5929	Tytuł okna	Titel òkna
5930	Usuń poprzedni plik i spróbuj jeszcze raz.	Rëmôj pòprzedny lopk ë spróbùjë jesz rôz.
5931	Niepoprawna liczba parametrów.	Zmiłkòwô lëczba argùmentów.
5932	Otwórz skrypt...	Òtemkni skript...
5933	Pasek zadańfont usage	Listew dzejaniów
5934	Połączenia:% 1	Pòłączenia:% 1
5935	O Qt Ten program używa Qt w wersji% 1.	Ta programa brëkùje wersëji QT% 1.
5936	Działania:	Dzejania:
5937	programista (wyświetlanie HTML, biblioteka we/ wy)	Ùsôdzca (wëskrzënianié HTML, bibloteka I/ O)
5938	Zakończ po wysłaniu	Zakùńczë pò wësłaniém
5939	Czytnik ekranowy Orca	Ekranowi czëtôrz Orca
5940	Użyj klasy okna (cały program)	Brëkùjë klasë òkna (całownô aplikacëjô)
5941	Wymagane rozszerzenia X (XComposite i XDamage) są niedostępne.	Wëmagóné rozszérzenié X (XComposite ë XDamage) nie je przëstãpné.
5942	Wejście	Weńdzenié
5943	Liczba bitów na kanał obrazu PNG jest nieprawidłowa.	Lëczba bitów na kanal òbrôzu PNG nie je pòprôwnô.
5944	URL odnośnika:	URL lënka:
5945	"Jeśli wybierzesz sposób przełączania ""Program"" lub ""Okno,"" zmiana układu będzie dotyczyła jedynie aktualnego programu lub okna."	"Jeżlë wëbierzesz pòlitikã przełączaniô ""Programa"" abò ""Òkno,"" zmiana ùstôwù klawiaturë bãdze sã tikac blós aplikacëji abò òkna."
5946	Hasło do logowania.	Parola logòwaniô.
5947	& Udostępnione	Ùprzistãpnioné
5948	Wszystkie@ title: column	@ title: column
5949	LircComment	LicComment
5950	Ikona:	Ikòna:
5951	Wybrano osiemnasty pulpitName	Wëbróny wirtualny pùlt 18Name
5952	Obecny opiekun	Biéżny òpiekùn
5953	& Nieudekorowane normalne okna	& Niédekòrowóné zwëczajné òkna
5954	Nie można uruchomić KCardChooser	Nie mòże zrëszëc KCardChooser
5955	OdświeżCut context menu item	Daj nazôd
5956	Przy logowaniu	Przë wlogòwaniu
5957	p, li {white- space: pre- wrap;} Standardowy planista dla procesów bez szczególnych wymagań.	p, li {white- space: pre- wrap;} Standardowé planowanié dlô procesów bez òsoblëwich wëmògów.
5958	Pojemnik 0 (u góry)	Zabiérnik 0 (u góry)
5959	Przewiń w dółQWebPage	ScrollLockQWebPage
5960	Katalog początkowy:	Zôczątkòwi katalog:
5961	Strony na kartce	Starnë na cedelkù
5962	Azja/ Almaty	Azëjô/ Almaty
5963	(nieznany)	(nieznóny)
5964	Niewystarczające uprawnienia do katalogu docelowego.	Niesygającé prawa w docélowym katalogù.
5965	Konfiguracja PCSCLite	Kònfigùracëjô PCSCLite
5966	Ustawienia strony	PgUpQShortcut
5967	Punktacja ważona	Ważonô pùnktacëjô
5968	Ograniczone dodatki Kubuntu	Restrikcyjné dodatczi Kubuntu
5969	Własny	Swój
5970	Znak wodny/ nakładka	Wòdny merk/ nakłôdk
5971	Wyszukiwanie na pulpicie za pomocą NepomukaComment	Szëkôrz pùltu NepomukaComment
5972	Moduł Joysticka dla Centrum Sterowania KDE	Kòntrolny mòduł KDE Joystica
5973	Konfiguracja pamięci	Kònfigùracëjô pamiãcë
5974	Kyat birmańskiName	Myanmarsczi KyatName
5975	Migracja danych Nepomuk, poziom 1Name	Migracëjô pòdôwków Nepomuk, równiô 1Name
5976	& Przewijanie	Listew przewijaniô
5977	Ustaw początkowy katalog roboczy nowej karty lub okna na 'katalog'	Zmieni robòczi katalog kònsolë dlô nowi kôrtë abò òkna na katalog 'dir'
5978	& Zamknij portfel	& Zamkni pòrtfél
5979	Programista z podstawowego zespołu	Rozwijôrz ze spòdlowégò karna
5980	Utwórz kolejny widok bieżącego dokumentu	Ùsôdzô nowi wëzdrzatk biéżnegò dokùmentu
5981	Nie można uruchomić% 1.	Nie mòże zrëszëc% 1.
5982	Serwer nie zaakceptował pustego adresu nadawcy.% 1	Serwera nie zaakceptowa pùsti adresë wësëlôrza.% 1
5983	Afryka/ Bujumbura	Afrika/ Bujumbura
5984	Pokaż wskazówkę & sekundową	Pòkażë & sekùndnik
5985	Przełącz jeden pulpit w dół	Skòkni jeden pùlt w dół
5986	Miesięcy	Mies.
5987	KsiążkaQShortcut	DólnyQShortcut
5988	Podziel poziomo	Pòdzelë knôdno
5989	Rozszerzenia fonetyczne katakana	Fònetikòwé rozszérze Katakana
5990	Do zgłaszania błędów proszę używać strony http: // bugs. kde. org.	Do zgłôszaniô felów proszã brëkòwac starnã http: // bugs. kde. org.
5991	Czy na pewno chcesz zakończyć% 1?	Jes të gwës, że chcesz zakùńczëc% 1?
5992	'Drukuj nagłówek' Jeśli ta opcja jest włączona, każda strona wydruku dokumentu HTML będzie zawierała nagłówek z datą, adresem dokumentu i numerem strony. Jeśli ta opcja jest wyłączona, nagłówek nie będzie drukowany.	'Drëkùjë nagłówk' Jeżlë na optacëjô je włączonô, to kòżdô starna wëdrëkù dokùmentu HTML bsdze zamëkała w se nagłówk z datumã, adresą dokùmentu ë numerã starnë. Jeżlë na òptacëjô je wëłączonô, nagłówk nie bãdze drëkòwóny.
5993	Zarządzanie energią	Sprôwianié energiją
5994	Poprawnie pobrano okładkę dla% 1.	ùdałé wëdostónié òbkłôdków
5995	MP3Tunes Harmony: Rozłączono	MP3tunes Harmony: Rozłączoné
5996	Pokaż wynik HTML	Òbaczë wińdzenié HTML
5997	Następne zadanie na tej samej kartce	Pòstãpnô robòta na jednym cedelkù
5998	Typ urządzeniaName	Ôrt ùrządzeniaName
5999	lichota@ mimuw. edu. pl	michol@ linuxcsb. org
6000	Informacja o zadaniuComment	Wëdowiédzô ò robòce aplikacëjówComment
6001	Uprość	Ùproszczë
6002	Niski połysk	Nisczi łisk
6003	Szybkie wyszukiwanie	Zblëżenié na chùtką szëkbã
6004	& Akceptuj wszystkie ciasteczka	& Akceptëjë wszëtczé kùszczi
6005	Ścieżka względna do katalogu testowego albo katalog z testami do uruchomienia (odpowiednik - t).	Relatiwnô stegna do testowégò kataloga abò katalog z testama do zrëszaniô (równoznaczëna - t).
6006	print () wymaga jednego argumentu	print () mô miec dwa argùmentë
6007	Zaznaczenie	Wëbiérk
6008	nieznane.	nieznóné
6009	Uzupełnianie tekstu: rotacjaComment	Dofùlowanié tekstu: rotacëjôComment
6010	Europa/ Belgrad	Eùropa/ Belgrad
6011	Odznacz wszystko	Òdznaczë wszëtkò
6012	Otoczone litery i miesiące CJK	Włączoné lëterë ë miesące CJK
6013	Europa/ Amsterdam	Eùropa/ Amsterdam
6014	Użycie:% 1% 2	Brëkòwanié:% 1% 2
6015	nieprawidłowe flagi	lëché fanë
6016	"Nie można wywołać zatrzymania w odtwarzaczu ""% 1."""	Grôcz aùdio '% 1' ni mòże zrëszëc dzejania 'stop'.
6017	Kopiuj płytę CD za pomocą K3bName	Kòpérëjë z pòmòcą K3bName
6018	Umiędzynarodowiony napis z% 1	Midzenôrodny wiadła z% 1
6019	Nazwa pliku (względem katalogu bazowego).	Miono lopka (pòdlé spòdlowégò kataloga)
6020	Debugowanie@ info: tooltip	Debùgowanié@ info: tooltip
6021	Usuwanie błędów i poprawki	Rëmanié felów ë òglowé pòprawczi
6022	(c) 1999- 2002 Autorzy KDE	(c) 1999- 2002 Ùsôdzcë KDE
6023	Wytnij elementy	Wëtni elementë
6024	Gadżety QEdjeComment	Gadżetë QEdjeComment
6025	Informacja o ideogramie CJK	Wëdowiédzô ideògrafach CJK
6026	A4, odcienie szarości	A4, cenie szaroscë
6027	Losowo	Kawlowò
6028	PHP (język skryptowy) - dokumentacjaQuery	PHP SzëkbaQuery
6029	Formy pionowe	Wertikalné fòrmë
6030	Multitran - tłumaczenie między włoskim i rosyjskimQuery	Multitran - dolmaczenié: italsczi ë ruscziQuery
6031	nspluginviewer	Przezérnik wtëkôczów Netscape
6032	Przeglądanie WWWComment	Przezéranié WWWComment
6033	Francuski	Francësczi
6034	Dane wyjściowe w UTF- 8 zamiast w kodowaniu lokalnym	Wińdzeniowi pòdôwczi w kòdowaniu UTF- 8 w môl môlowégò kòdowaniô
6035	Typ własny 2	Ôrt brëkòwnika 2
6036	Przełącz gdy	Przełączë jeżlë
6037	Okno nie będzie wyświetlane na podglądzie pulpitu	Òkno nie mdze wëskrzëniwóné na pòdzérkù pùltu
6038	Przeglądaj pulpity (w odwrotnej kolejności)	Przezérôj pùltë (w òpaczny pòsobicë)
6039	Wybieranie grupy% 1...	Wëbiérk grëpë% 1...
6040	Tylko odczyt	Blós òdczët
6041	Instalator czcionekComment	Instalownik fòntówComment
6042	Zapisywanie do% 1 nie jest obsługiwane.	Zapisëwanié do% 1 nie je òbsłëgiwóné.
6043	Nie podano wtyczki.	Nie je pòdóny wtëkôcz.
6044	Filtr internetowych słów kluczowychName	Filter internetowëch kluczowëch słówName
6045	Podany U niform R esource L ocation (URL) nie odnosi się do żadnego zasobu.	Wprowôdzony U niform R esource L ocation (URL) nie òdsëłô do niżódnegò dostónkù.
6046	Aktywny tekst	Aktiwny tekst
6047	Czas wyświetlania menu działań	Czas wëskrzëniwóniô menu dzejaniów (sekùndë)
6048	Brak urządzeń audio.	Felëje ùrządzenia aùdio.
6049	Ruch głowicy	Rësznota głowicë
6050	Określa docelowy ID	Òtaksowùjë docélowy uid
6051	Egzekutor (7 1/ 4 x 10 1/ 2 w)	Egzekùtora (7 1/ 4 x 10 1/ 2 w)
6052	& Debugowanie	& Debùgowanié
6053	czerwca	czerwińca
6054	kwin: nie można przejąć zarządzania oknami, być może działa już inny menedżer okien? (proszę spróbować użyć opcji -- replace)	kwin nie mòże przejimnąc sprôwianiô òknama. Czë dzejô ju jiny menedżera òknów? (proszã spróbòwac òptacëji -- replace)
6055	Operacja 'i' wymaga podania dwóch zmiennych	'Ë' mùszi miec dwie zmieniwne
6056	_Położenie:	_Pòłożenié:
6057	Dodawanie plików do repozytorium SVN... @ info: status	Dodôwanié lopków do zdrojów SVN... @ info: status
6058	Wczytywanie informacji o wykonawcy...	Ladowanié wëdowiédzë ò artisce...
6059	Konfiguracja ustawień menadżera plikówName	Kònfigùracëjô spòdlowégò nastôwù menadżera lopkówName
6060	Separator & dziesiętny:	& Dzesątkòwi dzelôcz:
6061	Moduł ten pozwala na obejrzenie urządzeń dołączonych do szyn (y) USB.	Mòduł nen pòzwôlô na òbzéranié ùrzãdzeniów przëłączonëch do szinë/ szinów USB.
6062	ustawia geometrię głównego okna - format argumentów znajduje się na stronie man- a dla X	nastôwiô geòmetrëjô przednégò òkna - fòrmat argùmentów nachôdô sã na starnie man- a dlô X
6063	& Włącz ciasteczka	& Włączë kùszczi
6064	"Czy naprawdę chcesz wyłączyć ""% 1,"" ""% 2,"" ""% 3"" i ""% 4""?"	"Na gwës wëłączëc ""% 1,"" ""% 2,"" ""% 3"" ë ""% 4""?"
6065	Dupleks bębnowy	Bãbnowi dupleks
6066	Nowa ZelandiaName	Nowô ZelandzkôName
6067	JidyszName	JidiszName
6068	Zwykłe tło o małej liczbie kolorów dla okien dialogowych	Małofarwné wbùdowóné spòdlé dialogòwégò òkna
6069	Wysoki priorytetPriority Class	Wësôk pioritetPriority Class
6070	Port szeregowy # 2 (NetBSD)	Régòwi pòrt # 2 (NetBSD)
6071	Obraz TGA ma nieprawidłowe wymiary	Òbrôz TGA mô zmiłkòwe miarë
6072	metrycznyThe Imperial System	MetrikòwiThe Imperial System
6073	Przywróć	& Doprowadzë nazôd
6074	Bajty odczytane/ zapisane	Aktualno bajtów czëtaniô/ pisaniô
6075	Określa, czy znaleziony tekst ma być zaznaczony	Nastôwiô czë nalazłi tekst mô bëc pòdsztëchniãti
6076	& Użytkownika	& Brëkòwnika
6077	Nowa lista skrótów klawiszowych	Nowô lësta dopasowaniô knapów
6078	Wybrano uruchomienie nowej sesji zamiast przywrócenia istniejącej. Bieżąca sesja zostanie ukryta i pojawi się nowe okno logowania. Z każdą sesją związany jest klawisze funkcyjny (Fx). F% 1 to zazwyczaj pierwsza sesja, F% 2 druga i tak dalej. Przełączanie między sesjami jest możliwe za pomocą kombinacji Ctrl, Alt i odpowiedni klawisz Fx. Dodatkowo na przełączanie pozwala panel KDE oraz menu pulpitu.	Môsz wëbróné òtemkniãcé pòstãpny sesëji pùltu w môl dostaniô nazôd biéżny. Biéżnô sesëjô òstanié zataconô a nowi ekran logòwaniô bãdze wëskrzëniony. Fùnkcjowi klawisza je przepisóny dlô kòżdi sesëji: F% 1 je zwëkòwò przepisóny do pierszi sesëji, F% 2 do drëdżi ë tak dali. Mòżesz przełączëwac sã midze sesjama wcëskając Ctrl, Alt ë apartny F- klawisza w tim samym czasu. Dodôwnie, panel KDE ë menu pùltu mają òptacëje przełączaniô midze sesëjama.
6079	Formularz będzie wysłany do% 1 na lokalnym systemie plików. Czy chcesz wysłać formularz?	Fòrmùlar bãdze wësłóny do% 1 môlowi systeme lopków. Chcesz wësłac fòrmùlar
6080	Europa/ Kijów	Eùropa/ Kijów
6081	& Lancelot	Lancelot
6082	Wybierz beneficjenta i - opcjonalnie - sposób ograniczenia autoryzacji, której chcesz udzielić.	Wëbiérzë ùprzëwilejowónegò brëkòwnika ë, òptacjowò, jakno no ùdowiérzenié mô bëc ògrańczoné.
6083	Katalogi & sieciowe@ action: inmenu Go	& Sécowé katalodżi@ action: inmenu Go
6084	Określa, czy obok ikon na pasku narzędzi ma być wyświetlany tekst	Òznaczô. czë kòl ikònów na listwie nôrzãdzów mô bëc wëskrzëniony tekst
6085	Klawisze myszy zostały włączone. Od tej chwili można kontrolować kursor myszy za pomocą klawiatury numerycznej.	Klawisze mëszë òstałë włączoné. Òd terô mòże kòntrolowac kùrsorã mëszë z pòmòcą numericzny klawiaturë.
6086	& Włącz obsługę wtyczek globalnie	& Włączë globalno òbsłużënk wtëkôczów
6087	SłowackiName	SłowaccziName
6088	Biblioteka libsmbclient zgłosiła błąd, ale nie podała powodu. Może to wskazywać na poważny problem z Twoją siecią, ale może również oznaczać problem w bibliotece libsmbclient. Jeśli chcesz nam pomóc, prosimy o przysłanie zrzutu tcpdumpa z interfejsu sieciowego, wykonanego w czasie przeglądania (należy zwrócić uwagę, że może on zawierać prywatne dane, więc nie należy go publikować, jeśli nie jesteś pewien, czy je zawiera - możesz wysłać go do programistów, jeśli o niego poproszą)	Biblioteka libsmbclient zgôsëła felã, le nie pòdôła przëczënë. Mòże to bëc problema z Twòją sécą, ale mòże téż òznôczac problemã w bibliotece libsmbclient. Eżle chcesz nama pòmóc, wëslë nama zdrzëcënk tcpdump- ã z sécowégò interfejsu, wëkònanegò òbczas przezéraniô (nôt je zwrócëc bôczënk, że mòże òn zamëkac w se priwatne pòdôwczi, téj nie słëchò gò pùblikòwac, eżle nie jes të gwës czë je mô - mòżesz wëslac gò do programistów, eżle ò niegò pòproszą)
6089	Klawisz Super jest teraz wyłączony.	Klawisza Super je terô wëłączonô.
6090	Pokazuj wszystkie wyskakujące okienka.	Wëskrzëni wszëtczé wëskakùjącé òkna.
6091	Zaznacz do następnego znaku	nieżdóny céch
6092	Program '% 1' nieoczekiwanie zakończył działanie.	Programa '% 1' niespòdzajno zakùńczëła dzejanié.
6093	Pokazuje okno ręcznej konfiguracji serwera pośredniczącego.	Wëskrzëniô òkno rãczny kònfigùracëji pòstrzédniczącegò serwera.
6094	Nie można uzyskać informacji o podsystemie PCI: dostęp może wymagać praw administratora	Nié mòże òdpëtac pòdsystemë PCI, mòże je nót do tegò sprôwniczëch prawów.
6095	Poziomy CMY	Równie CMY
6096	Dodatkowy podajnik 4	Dodôwny pòdajnik 4
6097	Duplekser - opcja	Duplekser - dodówny
6098	Zachodnia SaharaName	Zôpadnô SaharaName
6099	Natychmiast wykonuje wybrane operacje czyszczenia	Zarôzkù zrëszë wëbróne òperacëje czëszczëniô
6100	BezprzewodoweQShortcut	QShortcut
6101	Pliki osobisteName	Swòje lopcziName
6102	Czas wyświetlania menu działań:	Czas wëskrzëniwaniô menu dzejaniów:
6103	Zmień nazwę sesji	Zmieni miono sesëji
6104	Sekwencja -% 1	Sekwencëjô -% 1
6105	ten typ gniazda nie jest obsługiwana	nen ôrt gniôzda nié mô wspiarcô
6106	Tekst użyty jako etykieta	Tekst ùżëti jakno eticzéta
6107	Dodaj kamienie	Dodôj kachle
6108	Pokazuje tablicę	Wëskrzëniô tôblëcã
6109	Te elementy zostaną nieodwracalnie usunięte z twojego dysku.	Ne elementë òstóną na wiedno rëmniãté z twòjégò diskù.
6110	Ustawienia sekundnika	Nastôwë sekùndnika
6111	CyprName	CyperName
6112	Święta HelenaName	Swiãtô LenaName
6113	Ameryka/ Argentyna/ Jujuy	Amerika/ Argentina/ Jujuy
6114	Z rozsyłaniem grupowym	Z grëpòwim rozsélaniém
